Raw Value,Voltage (V),Current (mA),Receiver Ultrasound,Pressure (mmHg)
2837,2.29,12.7,979.0,40.79
2886,2.33,12.92,982.0,41.82
2864,2.31,12.82,986.0,41.36
2865,2.31,12.83,983.0,41.38
2869,2.31,12.84,983.0,41.46
2864,2.31,12.82,987.0,41.36
2864,2.31,12.82,985.0,41.36
2861,2.31,12.81,983.0,41.29
2862,2.31,12.81,985.0,41.32
2860,2.3,12.8,986.0,41.27
2857,2.3,12.79,986.0,41.21
2871,2.31,12.85,985.0,41.5
2864,2.31,12.82,985.0,41.36
2866,2.31,12.83,989.0,41.4
2859,2.3,12.8,991.0,41.25
2863,2.31,12.82,990.0,41.34
2861,2.31,12.81,989.0,41.29
2864,2.31,12.82,990.0,41.36
2862,2.31,12.81,992.0,41.32
2853,2.3,12.77,991.0,41.13
2870,2.31,12.85,992.0,41.48
2879,2.32,12.89,993.0,41.67
2891,2.33,12.94,997.0,41.92
2907,2.34,13.01,1002.0,42.26
2922,2.35,13.08,1005.0,42.57
2944,2.37,13.18,1008.0,43.04
2963,2.39,13.27,1008.0,43.43
2989,2.41,13.38,1015.0,43.98
2997,2.42,13.42,1015.0,44.15
2998,2.42,13.42,1010.0,44.17
2985,2.41,13.36,1015.0,43.9
2975,2.4,13.32,1009.0,43.69
2974,2.4,13.31,1002.0,43.67
2965,2.39,13.27,1008.0,43.48
2964,2.39,13.27,1008.0,43.46
2965,2.39,13.27,1008.0,43.48
2960,2.39,13.25,1011.0,43.37
2958,2.38,13.24,1008.0,43.33
2959,2.38,13.25,1009.0,43.35
2959,2.38,13.25,1008.0,43.35
2963,2.39,13.27,1009.0,43.43
2959,2.38,13.25,1007.0,43.35
2958,2.38,13.24,1008.0,43.33
2961,2.39,13.26,1008.0,43.39
2956,2.38,13.23,1008.0,43.29
2950,2.38,13.21,1008.0,43.16
2956,2.38,13.23,1008.0,43.29
2959,2.38,13.25,1008.0,43.35
2958,2.38,13.24,1009.0,43.33
2950,2.38,13.21,1008.0,43.16
2950,2.38,13.21,1008.0,43.16
2950,2.38,13.21,1008.0,43.16
2953,2.38,13.22,1008.0,43.22
2951,2.38,13.21,1008.0,43.18
2946,2.37,13.19,1008.0,43.08
2944,2.37,13.18,1006.0,43.04
2943,2.37,13.18,1004.0,43.02
2937,2.37,13.15,1006.0,42.89
2947,2.37,13.19,1006.0,43.1
2950,2.38,13.21,1005.0,43.16
2950,2.38,13.21,1006.0,43.16
2950,2.38,13.21,1007.0,43.16
2959,2.38,13.25,1007.0,43.35
2960,2.39,13.25,1008.0,43.37
2967,2.39,13.28,1008.0,43.52
2954,2.38,13.23,1007.0,43.25
2947,2.37,13.19,1007.0,43.1
2946,2.37,13.19,1008.0,43.08
2941,2.37,13.17,1004.0,42.97
2949,2.38,13.2,1001.0,43.14
2947,2.37,13.19,1003.0,43.1
2950,2.38,13.21,1003.0,43.16
2951,2.38,13.21,1003.0,43.18
2940,2.37,13.16,1003.0,42.95
2919,2.35,13.07,997.0,42.51
2896,2.33,12.97,993.0,42.03
2892,2.33,12.95,993.0,41.94
2881,2.32,12.9,991.0,41.71
2875,2.32,12.87,987.0,41.59
2865,2.31,12.83,987.0,41.38
2870,2.31,12.85,986.0,41.48
2880,2.32,12.89,987.0,41.69
2883,2.32,12.91,985.0,41.76
2879,2.32,12.89,989.0,41.67
2890,2.33,12.94,990.0,41.9
2892,2.33,12.95,987.0,41.94
2894,2.33,12.96,982.0,41.99
2890,2.33,12.94,989.0,41.9
2889,2.33,12.93,989.0,41.88
2882,2.32,12.9,986.0,41.73
2880,2.32,12.89,978.0,41.69
2881,2.32,12.9,985.0,41.71
2878,2.32,12.88,983.0,41.65
2881,2.32,12.9,982.0,41.71
2880,2.32,12.89,976.0,41.69
2882,2.32,12.9,982.0,41.73
2892,2.33,12.95,981.0,41.94
2892,2.33,12.95,979.0,41.94
2886,2.33,12.92,982.0,41.82
2867,2.31,12.84,978.0,41.42
2879,2.32,12.89,978.0,41.67
2878,2.32,12.88,499.0,41.65
2893,2.33,12.95,598.0,41.97
2896,2.33,12.97,623.0,42.03
2893,2.33,12.95,641.0,41.97
2890,2.33,12.94,653.0,41.9
2875,2.32,12.87,663.0,41.59
2895,2.33,12.96,678.0,42.01
2887,2.33,12.93,688.0,41.84
2892,2.33,12.95,700.0,41.94
2892,2.33,12.95,708.0,41.94
2887,2.33,12.93,718.0,41.84
2879,2.32,12.89,720.0,41.67
2879,2.32,12.89,726.0,41.67
2874,2.32,12.87,734.0,41.57
2875,2.32,12.87,739.0,41.59
2874,2.32,12.87,745.0,41.57
2867,2.31,12.84,750.0,41.42
2863,2.31,12.82,752.0,41.34
2861,2.31,12.81,758.0,41.29
2848,2.3,12.75,762.0,41.02
2847,2.29,12.75,761.0,41.0
2832,2.28,12.68,767.0,40.69
2832,2.28,12.68,770.0,40.69
2829,2.28,12.67,773.0,40.62
2821,2.27,12.63,781.0,40.45
2813,2.27,12.59,784.0,40.29
